lab_id,date_collected,site,lab_sample,date_rftmread1,rftm_reader1,rftm_intensity_read1,duplicate_read,date_rftmread2,rftm_reader2,rftm_intensity_read2,rftm_notes,rftm_final
0823GOLD_01,2023-08-14,GOLD,1,2023-08-22,Mariah Kachmar,0,TRUE,2023-08-22,Katie Rexius,0,,0
0823GOLD_02,2023-08-14,GOLD,2,2023-08-22,Mariah Kachmar,0,TRUE,2023-08-22,Katie Rexius,0,,0
0823GOLD_03,2023-08-14,GOLD,3,2023-08-22,Mariah Kachmar,0,TRUE,2023-08-22,Katie Rexius,0,,0
0823GOLD_04,2023-08-14,GOLD,4,2023-08-22,Mariah Kachmar,0,FALSE,,,,,0
0823GOLD_05,2023-08-14,GOLD,5,2023-08-22,Katie Rexius,0,FALSE,,,,,0
0823GOLD_06,2023-08-14,GOLD,6,2023-08-22,Katie Rexius,0,FALSE,,,,,0
0823GOLD_07,2023-08-14,GOLD,7,2023-08-22,Mariah Kachmar,0,FALSE,,,,,0
0823GOLD_08,2023-08-14,GOLD,8,2023-08-22,Mariah Kachmar,0,FALSE,,,,,0
0823GOLD_09,2023-08-14,GOLD,9,2023-08-22,Mariah Kachmar,0,FALSE,,,,,0
0823GOLD_10,2023-08-14,GOLD,10,2023-08-22,Mariah Kachmar,0,FALSE,,,,,0
0823GOLD_11,2023-08-14,GOLD,11,2023-08-22,Katie Rexius,0,FALSE,,,,,0
0823GOLD_12,2023-08-14,GOLD,12,2023-08-22,Katie Rexius,0,FALSE,,,,,0
0823GOLD_13,2023-08-14,GOLD,13,2023-08-22,Katie Rexius,0,FALSE,,,,,0
0823GOLD_14,2023-08-14,GOLD,14,2023-08-22,Katie Rexius,0,FALSE,,,,,0
0823GOLD_15,2023-08-14,GOLD,15,2023-08-22,Mariah Kachmar,0,FALSE,,,,,0
0823GOLD_16,2023-08-14,GOLD,16,2023-08-22,Mariah Kachmar,0,FALSE,,,,,0
0823GOLD_17,2023-08-14,GOLD,17,2023-08-22,Mariah Kachmar,0,FALSE,,,,,0
0823GOLD_18,2023-08-14,GOLD,18,2023-08-22,Mariah Kachmar,0,FALSE,,,,,0
0823GOLD_19,2023-08-14,GOLD,19,2023-08-22,Mariah Kachmar,0,FALSE,,,,,0
0823GOLD_20,2023-08-14,GOLD,20,2023-08-22,Mariah Kachmar,0,FALSE,,,,,0
0823GOLD_21,2023-08-14,GOLD,21,2023-08-22,Mariah Kachmar,0,FALSE,,,,,0
0823GOLD_22,2023-08-14,GOLD,22,2023-08-22,Mariah Kachmar,0,FALSE,,,,,0
0823GOLD_23,2023-08-14,GOLD,23,2023-08-22,Mariah Kachmar,0,FALSE,,,,,0
0823GOLD_24,2023-08-14,GOLD,24,2023-08-22,Mariah Kachmar,0,FALSE,,,,,0
0823GOLD_25,2023-08-14,GOLD,25,2023-08-22,Katie Rexius,0,FALSE,,,,,0
0823GOLD_26,2023-08-14,GOLD,26,2023-08-22,Katie Rexius,0,FALSE,,,,,0
0823GOLD_27,2023-08-14,GOLD,27,2023-08-22,Katie Rexius,0,FALSE,,,,,0
0823GOLD_28,2023-08-14,GOLD,28,2023-08-22,Katie Rexius,0,FALSE,,,,,0
0823GOLD_29,2023-08-14,GOLD,29,2023-08-22,Katie Rexius,0,FALSE,,,,,0
0823GOLD_30,2023-08-14,GOLD,30,2023-08-22,Katie Rexius,0,FALSE,,,,,0
