lab_id,date_collected,site,lab_sample,date_rftmread1,rftm_reader1,rftm_intensity_read1,duplicate_read,date_rftmread2,rftm_reader2,rftm_intensity_read2,rftm_notes,rftm_final
0423ASHC_01,2023-04-23,ASHC,1,2023-05-01,Mariah Kachmar,0.5,TRUE,2023-05-01,Meghana Parikh,0.5,,0.5
0423ASHC_02,2023-04-23,ASHC,2,2023-05-01,Mariah Kachmar,0.5,TRUE,2023-05-01,Meghana Parikh,0.5,,0.5
0423ASHC_03,2023-04-23,ASHC,3,2023-05-01,Mariah Kachmar,0.5,TRUE,2023-05-01,Meghana Parikh,0.5,,0.5
0423ASHC_04,2023-04-23,ASHC,4,2023-05-01,Mariah Kachmar,0.5,TRUE,2023-05-01,Meghana Parikh,0.5,,0.5
0423ASHC_05,2023-04-23,ASHC,5,2023-05-01,Mariah Kachmar,0.5,TRUE,2023-05-01,Meghana Parikh,0.5,,0.5
0423ASHC_06,2023-04-23,ASHC,6,2023-05-01,Mariah Kachmar,0.5,TRUE,2023-05-01,Meghana Parikh,0,,0.5
0423ASHC_07,2023-04-23,ASHC,7,2023-05-01,Mariah Kachmar,0.5,TRUE,2023-05-01,Meghana Parikh,0.5,,0.5
0423ASHC_08,2023-04-23,ASHC,8,2023-05-01,Mariah Kachmar,0.5,TRUE,2023-05-01,Meghana Parikh,0.5,,0.5
0423ASHC_09,2023-04-23,ASHC,9,2023-05-01,Mariah Kachmar,0.5,TRUE,2023-05-01,Meghana Parikh,0.5,,0.5
0423ASHC_10,2023-04-23,ASHC,10,2023-05-01,Mariah Kachmar,0.5,TRUE,2023-05-01,Meghana Parikh,0.5,,0.5
0423ASHC_11,2023-04-23,ASHC,11,2023-05-04,Mariah Kachmar,0.5,TRUE,2023-05-04,Meghana Parikh,0.5,,0.5
0423ASHC_12,2023-04-23,ASHC,12,2023-05-04,Mariah Kachmar,0.5,TRUE,2023-05-04,Meghana Parikh,0.5,,0.5
0423ASHC_13,2023-04-23,ASHC,13,2023-05-04,Mariah Kachmar,0.5,TRUE,2023-05-04,Meghana Parikh,0.5,,0.5
0423ASHC_14,2023-04-23,ASHC,14,2023-05-04,Mariah Kachmar,0.5,TRUE,2023-05-04,Meghana Parikh,1,,1
0423ASHC_15,2023-04-23,ASHC,15,2023-05-04,Mariah Kachmar,0,TRUE,2023-05-04,Meghana Parikh,0,,0
0423ASHC_16,2023-04-23,ASHC,16,2023-05-04,Mariah Kachmar,1,TRUE,2023-05-04,Meghana Parikh,1,,1
0423ASHC_17,2023-04-23,ASHC,17,2023-05-04,Mariah Kachmar,0.5,TRUE,2023-05-04,Meghana Parikh,0.5,,0.5
0423ASHC_18,2023-04-23,ASHC,18,2023-05-04,Mariah Kachmar,0.5,TRUE,2023-05-04,Meghana Parikh,0.5,,0.5
0423ASHC_19,2023-04-23,ASHC,19,2023-05-04,Mariah Kachmar,0.5,TRUE,2023-05-04,Meghana Parikh,0.5,,0.5
0423ASHC_20,2023-04-23,ASHC,20,2023-05-04,Mariah Kachmar,0.5,TRUE,2023-05-04,Meghana Parikh,0.5,,0.5
0423ASHC_21,2023-04-23,ASHC,21,2023-05-05,Mariah Kachmar,1,TRUE,2023-05-05,Meghana Parikh,1,,1
0423ASHC_22,2023-04-23,ASHC,22,2023-05-05,Mariah Kachmar,0.5,TRUE,2023-05-05,Meghana Parikh,0,,0.5
0423ASHC_23,2023-04-23,ASHC,23,2023-05-05,Mariah Kachmar,0.5,TRUE,2023-05-05,Meghana Parikh,0.5,,0.5
0423ASHC_24,2023-04-23,ASHC,24,2023-05-05,Mariah Kachmar,0.5,TRUE,2023-05-05,Meghana Parikh,0.5,,0.5
0423ASHC_25,2023-04-23,ASHC,25,2023-05-05,Mariah Kachmar,0.5,TRUE,2023-05-05,Meghana Parikh,0.5,,0.5
0423ASHC_26,2023-04-23,ASHC,26,2023-05-05,Mariah Kachmar,0.5,TRUE,2023-05-05,Meghana Parikh,0,,0.5
0423ASHC_27,2023-04-23,ASHC,27,2023-05-05,Mariah Kachmar,0,TRUE,2023-05-05,Meghana Parikh,0,,0
0423ASHC_28,2023-04-23,ASHC,28,2023-05-05,Mariah Kachmar,0.5,TRUE,2023-05-05,Meghana Parikh,0.5,,0.5
0423ASHC_29,2023-04-23,ASHC,29,2023-05-05,Mariah Kachmar,2,TRUE,2023-05-05,Meghana Parikh,2,,2
0423ASHC_30,2023-04-23,ASHC,30,2023-05-05,Mariah Kachmar,0.5,TRUE,2023-05-05,Meghana Parikh,0.5,,0.5
